,Laptop Name,Current Price,Old Price
0,"Apple MacBook Pro 14.2"" M3 Chip With 8‑core CPU, 10‑core 8GB - 1TB - Silver - 2023","₦ 2,999,999","₦ 9,999,999"
1,"Apple MacBook Air 13.6"" M3 Chip - 8GB - 256GB - MIDNIGHT - 2024","₦ 1,830,999","₦ 4,999,999"
2,"Apple MacBook Pro 14"" Laptop - M3 Pro Chip - 18GB  - 18-core GPU - 1TB SSD - Space Black/2023","₦ 3,650,000",None
3,Apple MacBook Pro - M3 Pro Chip 14″-18GB Ram -1TB -18Core - Silver,"₦ 3,800,999","₦ 6,999,999"
4,"Apple MacBook Pro 16.2"" M3 Max - 40Core - 48GB RAM - 1TB - BLACK","₦ 6,500,999","₦ 9,999,999"
5,"Apple MacBook Air 13.3"" Laptop - Apple M1 Chip - 8GB Memory - 256GB SSD  - Silver","₦ 1,370,000",None
6,"Apple MacBook Pro 14"" M3 - 8GB - 512GB- 10Core - Space Grey - 2023","₦ 2,650,999","₦ 4,999,999"
7,Apple MACBOOK AIR,"₦ 1,490,500",None
8,"Apple MacBook Air 13.6"" M3 Chip - 8GB - 256GB - SILVER - 2024","₦ 1,720,999","₦ 4,999,999"
9,"Apple MacBook Air 13.3"" 8GB RAM/256GB M1 Processor - Space Grey","₦ 1,000,000","₦ 2,000,000"
10,"Apple MacBook Pro 14.2"" M3 Chip - 8GB - 1TB - Space Grey - 2023","₦ 2,999,999","₦ 9,999,999"
11,Apple MacBook Pro 16‑inch M3 Max Chip 4TB 128GB RAM English - Space Black,"₦ 9,999,999","₦ 12,999,999"
12,"Apple MacBook Air 15.3"" M2 Chip 8GB/ 256GB - 10Core - Space Grey","₦ 2,250,999","₦ 2,999,999"
13,"Apple MacBook Air - 15.3"" 8GB - 256GB- M3 Chip - Space Grey - 2024","₦ 2,040,999","₦ 5,999,999"
14,"Apple MacBook Pro 16.2"" M3 Max - 30C - 36GB - 1TB - Black","₦ 5,780,999","₦ 12,999,999"
15,"Apple MacBook Pro 14.2"" - M3 Pro -18GB - 512GB - 2023 - Silver","₦ 3,350,999","₦ 4,999,999"
16,"Apple MacBook Air 13"" M1 Chip  8GB 256GB 2020 Model - Gray","₦ 1,370,000",None
17,"Apple MacBook Air 13.6"" M3 Chip - 8GB - 256GB - Space Grey - 2024","₦ 1,830,999","₦ 4,999,999"
18,"Apple MacBook Air - 15.3"" 16GB - 512GB - M3 Chip - Mdnight - 2024","₦ 2,999,999","₦ 5,999,999"
19,"Apple MacBook Pro 16.2"" - M3 Pro - 18C 36GB- 512GB - BLACK","₦ 4,699,999","₦ 5,999,999"
20,"Apple MacBook Pro 16.2"" M3 Pro -18GB - 512GB - Black - 2023","₦ 4,500,999","₦ 6,999,999"
21,"Apple MacBook Air 13.6"" 8GB RAM/512GB SSD M2 Chip - Midnight","₦ 2,040,999","₦ 2,999,999"
22,"Apple MacBook Air 13.6"" M3 Chip - 8GB - 512GB SSD - Silver - 2024","₦ 1,899,999","₦ 4,999,999"
23,"Apple MacBook Pro 16.2"" M3 Max - 30C - 36GB 1TB - SILVER - 2023","₦ 5,780,999","₦ 12,999,999"
24,"Apple MacBook Air 13.6"" M3 Chip - 8GB - 512GB - Space Grey - 2024","₦ 1,899,999","₦ 4,999,999"
25,"Apple MacBook Air 13"" M1 Chip 8GB 256GB 2020 Model - Gold","₦ 1,375,000",None
26,"Apple MacBook Air 13.6"" M3 Chip - 8GB - 1TB - Midnight - 2024","₦ 2,999,999","₦ 4,999,999"
27,Apple MacBook Pro 16‑inch M3 Max Chip 4TB 128GB RAM English - Space Black,"₦ 9,999,999","₦ 12,999,999"
28,"Apple MacBook Pro 14.2"" M3 Pro 11-Core /14-Core-18GB/512GB - Black","₦ 3,300,999","₦ 5,999,999"
29,"Apple MacBook Air - 13.6"" - 8GB - 256GB - M2 - Space Grey - 2022","₦ 1,750,999","₦ 2,999,999"
30,"Apple MacBook Air - 15.3"" 16GB - 512GB SSD - FaceTime -Touch ID - M3 Chip - Space Grey - 2024","₦ 2,999,999","₦ 5,999,999"
31,"Apple MacBook Air - 15.3"" 8GB - 512GB - FaceTime -Touch ID - M3 Chip - Starlight - 2024","₦ 2,599,999","₦ 5,999,999"
32,"Apple MacBook Air - 15.3"" 8GB - 512GB - FaceTime -Touch ID - M3 Chip - Midnight - 2024","₦ 2,599,999","₦ 5,999,999"
33,"Apple MacBook Air - 15.3"" 8GB - 512GB SSD - FaceTime -Touch ID - M3 Chip - Space Grey - 2024","₦ 2,599,999","₦ 5,999,999"
34,"Apple MacBook Pro 14"" M3 Chip 8GB - 512GB - Silver - 2023","₦ 2,650,999","₦ 4,999,999"
35,"Apple MacBook Pro 14.2"" - M3 Pro 12C - CPU, 18C - 18GB - 1TB SSD - BLACK - 2023","₦ 4,400,999","₦ 6,999,999"
36,"Apple MacBook Air - 13.6"" - 8GB - 256GB - M2 - MIDNIGHT - 2022","₦ 1,750,999","₦ 2,999,999"
37,"Apple MacBook Air 13.6"" M3 Chip - 8GB - 256GB - STARLIGHT - 2024","₦ 1,830,999","₦ 4,999,999"
38,"Apple MacBook Air 13.6"" M3 Chip - 8GB - 512GB Midnight - 2024","₦ 2,159,999","₦ 4,999,999"
39,"Apple MacBook Air - 13.6"" - 8GB - 256GB - M2 - Silver - 2022","₦ 1,750,999","₦ 2,999,999"
